Date,Time,Outdoor air temperature °C,Outdoor relative humidity %,Outdoor dew point °C,Thermal sensation °C,Heat index °C,THSW index°C,Solar radiation W/m^2,Solar radiation MJ/300s,Degree-days D-D,Indoor air temperature °C,Indoor relative humidity %,Indoor dew point °C
10/12/2020,09:00:00,15.541666666666666,63.666666666666664,8.658333333333333,15.541666666666666,14.975,16.821328416666667,191.91666666666666,198.9792,0.0,16.925,72.5,11.916666666666666
10/12/2020,10:00:00,19.333333333333332,56.083333333333336,10.316666666666666,19.333333333333332,18.791666666666668,21.936257833333332,308.8333333333333,320.1984,0.00375,25.183333333333334,55.75,15.625
10/12/2020,11:00:00,22.708333333333332,55.083333333333336,13.200000000000001,22.708333333333332,22.608333333333334,23.37527375,59.833333333333336,62.0352,0.015166666666666667,35.31666666666667,36.833333333333336,18.150000000000002
10/12/2020,12:00:00,24.775000000000002,49.916666666666664,13.591666666666667,24.775000000000002,24.758333333333336,25.48773291666667,65.33333333333333,67.7376,0.022416666666666668,45.35833333333333,24.166666666666668,19.966666666666665
10/12/2020,13:00:00,27.03333333333333,43.833333333333336,13.666666666666666,27.03333333333333,26.78333333333333,27.059915916666668,51.666666666666664,53.568,0.03025,53.916666666666664,17.5,21.849999999999998
10/12/2020,14:00:00,28.483333333333334,37.75,12.658333333333333,28.483333333333334,28.175,28.529195,96.08333333333333,99.61919999999999,0.03516666666666667,54.44166666666666,15.583333333333334,20.400000000000002
10/12/2020,15:00:00,28.599999999999998,36.666666666666664,12.299999999999999,28.599999999999998,28.2,27.876754416666667,47.916666666666664,49.68,0.035333333333333335,44.43333333333334,21.083333333333332,17.033333333333335
10/12/2020,16:00:00,28.224999999999998,33.25,10.541666666666666,28.224999999999998,27.425,26.79358458333333,50.0,51.84,0.034333333333333334,34.425000000000004,30.333333333333332,14.391666666666666
10/12/2020,17:00:00,27.5,33.333333333333336,9.924999999999999,27.5,26.633333333333336,25.44644025,44.666666666666664,46.3104,0.03191666666666667,29.266666666666666,35.583333333333336,12.458333333333334
10/12/2020,18:00:00,25.325,38.833333333333336,10.291666666666666,25.325,24.825,23.18176475,3.0,3.1104,0.024333333333333332,24.258333333333336,41.25,10.216666666666667
10/12/2020,19:00:00,23.0,44.833333333333336,10.325000000000001,23.0,22.441666666666666,20.583028,0.0,0.0,0.016083333333333335,21.166666666666668,46.75,9.308333333333334
